"","BB","SM","HTA","SE","Geschlecht","Alter","HöchsterBildungsabschluss","Studienhauptfach","Beschreiben Sie hier Ihre Vorstellung der Funktionsweise.","Verwendungsfreq","Zweck","Vorkenntnisse","Art","Begründen Sie knapp Ihre obige Auswahl (optional). - Black Box","Begründen Sie knapp Ihre obige Auswahl (optional). 2","Begründen Sie knapp Ihre obige Auswahl (optional). 3","Begründen Sie knapp Ihre obige Auswahl (optional). 4","ID","Rater1","Rater2","Rater3","Rater4","Kategorie"
"1",5,1,1,3,"weiblich",23,"Abitur","Rechtswissenschaften","Sehr komplexer Algorithmus mit Formeln der auf bestimmte Fragen durch erlernte Kommandos reagiert","1-3 Mal pro Monat","Schreiben, Praktische Hilfestellung, Informationssuche, Selbstausdruck",2,"Gemini, ChatGPT","Objektiv sind die Vorhänge bestimmt nachvollziehbar. Ich als noob kann es nur nicht nachvollziehen weil ich keine Ahnung von Programmierung habe",NA,"Intelligent ja , Menschenähnlich nein dafür fehlt die emotionale Komponente","Lässt sich einwandfrei dafür benutzen. Allerdings nur solange man selbst die Quellen nochmal nachprüft. Sonst gibts ne Fehlerquote",1,NA,2,2,NA,"SM"
"2",4,2,2,5,"weiblich",24,"Abitur","Lehramt","Ich bin ehrlicherweise nicht informiert und stelle mir vor, dass wenn man den Befehl abgegeben hat, dieser von Chat bearbeitet wird. Dann sucht Chat auf verschiedenen Websites nach Infos. Oder hat generell eigene Infos. Dann überlegt Chat, was am wichtigsten und beliebtesten ist und am besten zur Frage passt. Dann werden die ausgewerteten Ergebnisse gut strukturiert angezeigt.","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Multimedia, Informationssuche, Selbstausdruck",2,"ChatGPT, Gemini","Was genau passiert, weiß ich nicht. Ich könnte mir schon vorstellen, dass etwa Sponsoring stattfindet und manchmal Firmen dann vorgeschlagen werden oder Hotels, die dafür bezahlt haben","Ich denke durch Sponsoring vielleicht, dass es nicht nur um Wahrscheinlichkeit geht","Chat wird von Menschen wahrscheinlich so programmiert dass er menschenähnlich und emphatisch denkt, aber am Ende ist es eine Maschine",NA,2,4,NA,NA,4,"SE"
"3",4,4,2,4,"weiblich",21,"Abitur","BWL","Informationen werden an vom Nutzer an chatgpt weitergegeben ( zu welchem Zeitraum soll der Urlaub geplant werden, wo und zu welchen Bedingungen, wie 2 Sterne Hotel, Doppelzimmer)
Chatgpt empfängt diese Informationen und ordnet sie bzw. wertet sie aus.
Dann sucht er anhand dieser Kriterien in seiner Datenbank bzw.dem Internet nach konkreten Lösungen und/oder Informationen. 
Diese werden wieder an chatgpt zurück getragen und danach gebündelt, richtig formatiert an den Nutzer weitergeleitet.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung",3,"ChatGPT","Man sieht meistens nicht wie bzw woher chatgpt seine Informationen erlangt",NA,NA,NA,3,4,4,NA,NA,"SE"
"4",4,4,4,5,"weiblich",23,"Abitur","Vergleichende Kulturwissenschaft","ChatGPT durchforstet für einen das Internet in sekundenschnelle so ziemlich und gibt dann Antworten undauch Vorschläge.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe, Informationssuche",4,"ChatGPT","Ja und nein. Wenn man normal ein Prompt stellt, werden keine Quellen gegeben, doch wenn man danach fragt, kriegt man welche. Aber in den meisten Fällen sind interne Vorgänge schwer nachvollziehbar.",NA,NA,NA,4,NA,NA,4,4,"SE"
"5",5,3,3,4,"weiblich",20,"Abitur","Realschullehramt","Ich stelle einer ki eine Frage danach sucht sie die passenden Informationen aus einem Pool an Informationen heraus und gibt mir diese","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Informationssuche",3,"ChatGPT, Gemini","Manchmal kann man bei einer ki die Antwort eben nicht nachvollziehen und deswegen wäre es oft sinnvoll einen ""Gedankengang"" - was man ja regulär nicht tut",NA,"Sie sind auf jeden Fall intelligent aber denken meiner Meinung nach nicht immer menschlich",NA,5,1,NA,NA,4,"SE"
"6",4,4,2,4,"weiblich",24,"Abitur","Rechtswissenschaften","Ich denke dass bei Eingabe der Frage ChatGPT die Frage verarbeitet und dann onlineinfprmationen durchsucht und daraus eine Antwort generiert","Weniger als 1 Mal pro Monat","Schreiben, Praktische Hilfestellung",3,"ChatGPT, Gemini","Oftmals sind Informationen von Chat vor meiner Meinung nach nicht transparent",NA,NA,NA,6,NA,1,1,NA,"BB"
"7",4,5,2,5,"männlich",27,"Abitur","Medieninformatik","Ich gebe meine Reisedetails in ChatGPT ein,  ChatGPT nimmt sich die Details wie Datum, Ort, ... raus und durchsucht Reiseportale. Anschließend werden die Optionen verglichen und die Antwort inklusive Link zum buchen formuliert.","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Technische Hilfe, Multimedia, Informationssuche",5,"ChatGPT, Gemini, Copilot",NA,NA,"Eigentlich ja nicht, sie können aber einen menschenähnlich denkenden Agenten imitieren",NA,7,4,NA,4,NA,"SE"
"8",3,5,1,2,"männlich",26,"Abitur","Medieninformatik","Ich stelle mir vor, dass ChatGPT wie ein intelligenter Assistent funktioniert.
Wenn ich nach einem Hotel in Rom frage, analysiert das System meine Anfrage und sucht in einer großen Datenbank oder im Internet nach passenden Hotels.
Danach vergleicht es Preise, Bewertungen und Lage und gibt mir eine Empfehlung in verständlicher Sprache zurück.
Das System basiert wahrscheinlich auf künstlicher Intelligenz und wurde mit vielen Texten trainiert, damit es menschliche Sprache verstehen und Antworten formulieren kann.","Mindestens 1 Mal pro Tag","Schreiben, Praktische Hilfestellung, Technische Hilfe, Multimedia, Informationssuche",4,"Claude, Gemini, ChatGPT",NA,NA,NA,NA,8,NA,4,NA,3,"HTA"
"9",4,5,1,2,"männlich",28,"Master","Medieninformatik","Zuerst erstellt ChatGPT einen Plan wie die Aufgabe auszuführen ist. Die Passiert über die Wahrscheinlichkeit von Wörtern. Es wird also der Prompt an das Model gegeben und dann berechnet welche Wörter bzw. welcher Plan am wahrscheinlichsten auf so einen Prompt folgt. Dieser Plan wird dann wieder an das Model zurück gegeben. Teil des Plans wäre in diesem Fall zum Beispiel eine Googlesuche (bzw. irgendeine andere Suchmaschine). Es werden Queries für die Suchmaschine generiert und an eine API geschickt. Dann werden die ersten Ergebnisse gecrawled und daraus eine Textzusammenfassung erstellt. Die Textzusammenfassung der Webseiten und der ursprüngliche Plan werden an ChatGPT zurück gegeben (in wirklichkeit nicht zurückgegeben, weil alles in dem Model stattfindet, aber als vereinfachung so ausgedrückt). Als nächster Schritt des Plans kommt dann etwas wie ""Erstelle aus der zusammenfassung der Webseiten eine weitere Zusammenfassung passend zum urstprünglichen Prompt"". Das Ergebnis daraus wird dann dem Nutzer angezeigt","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe",3,"Gemini, ChatGPT, Mistral-Nemo","Die weights und biases in neuronalen Netzen werden mit großen Datenmengen trainiert. Man kann den Aufbau solcher neuronalen Netze verstehen (wie viele Layer gibt es usw.), aber nicht bzw. nur sehr schwer was die einzelnen mathematischen Umformungen in dem Model dann tun, da sich deren Gewichtung aus dem Training ergibt.","Mit Trainingsdatensätzen werden die Umrechnungen in den Modelen so trainiert, dass eine wahrscheinlich passende Antwort herauskommt. Es wird auch noch eine Zufallsvariable hinzugefügt (""heat"") damit nicht immer exakt die gleichen Antworten auf die selben Eingaben generiert werden, das sehe ich aber auch als teil der wahrscheinlichkeit.","In meinem Mentalen Modell sind es letztlich Formeln die berechnen was die wahrscheinlich nächsten Wörter auf Grundlage des Prompts sind","Sie erstellen eher Zusammenfassungen von Ergebnissen von Suchmaschinen.",9,2,NA,2,NA,"SM"
"10",4,4,3,2,"männlich",21,"Abitur","Medieninformatik","ich würde einen Pormpt ähnlich wie im obenen genanten Beispiel schreiben , die Antwort sollte meiner Ansicht nach Tabellarsich aufgebaut sein um die Suchergebnisse leicht miteinander vergleichen zu können, hierbei würde ich die Kategorien Name, Bewertungen + Anzahl, Preis und Größe verwenden, darunter würde ich mir eine von Chat GPT aus den Informationen stammende kleine Pro Kontra Liste mit jeweils 2-3 Punkten zu Lage, Preisleistung beispielsweise wünschen um direkt leicht einen Vergleich zwischen den einzelnene Ergebnissen zu machen zu letzt sollte man driekt zum Buchungsprotal weitergeleitet werden können., die Hotel sollten anch einem nach gpt Einschätzungen Ranking georndet sein also das das laut Chat GPT beste Ergenbis als ersten angezeigt wird.","1-6 Mal pro Woche","Schreiben, Praktische Hilfestellung, Technische Hilfe, Informationssuche",4,"ChatGPT, Claude, Gemini, Notebook LM",NA,NA,NA,NA,10,NA,4,NA,4,"SE"
